Model,Accuracy,Weighted F1,Weighted Precision,Weighted Recall
Random Forest,0.5993485342019544,0.5525190431959617,0.5688270392551453,0.5993485342019544
XGBoost,0.5700325732899023,0.5507821626330919,0.5449278117142882,0.5700325732899023
AdaBoost,0.6026058631921825,0.5332146594436289,0.6083804839959678,0.6026058631921825
LightGBM,0.5504885993485342,0.5272205931815053,0.5160721211767573,0.5504885993485342
Logistic Regression,0.498371335504886,0.518406913574785,0.5689268810967674,0.498371335504886
SVM,0.49185667752442996,0.5055172358498133,0.5486863210924435,0.4918566775244301
Decision Tree,0.4495114006514658,0.45987995529379777,0.516601892786044,0.4495114006514658
