feature,importance
num__age,0.255187828233989
cat__husband_desired_children_1.0,0.18460094508382688
cat__marital_status_1.0,0.15266021986565748
cat__region_4.0,0.13728233364224526
num__num_children,0.1294205020189522
cat__husband_desired_children_2.0,0.09017944521783168
cat__edu_woman_1.0,0.07874350234369246
cat__edu_husband_1.0,0.07685550042675177
cat__edu_husband_2.0,0.07374253373989059
cat__religion_1.0,0.06811734434278267
cat__residence_1.0,0.06807656316807702
cat__region_8.0,0.06668543892584887
cat__facility_fp_1.0,0.0655238420534329
cat__region_7.0,0.06549101519558059
cat__facility_fp_2.0,0.06546026354486634
cat__region_6.0,0.06360221157473911
cat__wealth_5.0,0.05880687601823355
cat__anc_group_3.0,0.05470424402157326
cat__wealth_3.0,0.050875836486702866
cat__fieldworker_fp_2.0,0.049787746112628456
cat__edu_husband_0.0,0.04473252297914461
cat__wealth_4.0,0.04372830257372641
cat__religion_2.0,0.04362063472046195
cat__fieldworker_fp_1.0,0.04353966737053717
cat__region_9.0,0.0404342822879534
cat__edu_husband_3.0,0.0397864529822389
cat__media_any_0.0,0.039617800614838196
cat__fertility_preference_2.0,0.03917054099110256
cat__woman_working_0.0,0.03822731127528063
cat__facility_fp_0.0,0.03757678748301007
cat__marriage_type_1.0,0.036687070120812064
cat__region_2.0,0.03598447279185181
cat__edu_woman_2.0,0.03554716815902647
cat__husband_desired_children_8.0,0.03315907225521236
cat__region_5.0,0.03225347795927397
cat__region_12.0,0.03218827745575179
cat__anc_group_0.0,0.02995771346652119
cat__wealth_2.0,0.02847992468206731
cat__region_10.0,0.02840236850685651
cat__husband_desired_children_3.0,0.027592626016439033
cat__marriage_type_2.0,0.02727734614998298
cat__anc_group_1.0,0.02727118750359729
cat__fertility_preference_1.0,0.026557995460508712
cat__edu_woman_3.0,0.02493385700091917
cat__religion_4.0,0.024794243363999977
cat__fieldworker_fp_0.0,0.024670096132261902
cat__region_3.0,0.024083215769847923
cat__edu_woman_0.0,0.020058426121602045
cat__anc_group_2.0,0.017442887047619454
cat__marital_status_2.0,0.01635683742850459
cat__religion_3.0,0.016165812243861825
cat__wealth_1.0,0.015524353474638543
cat__residence_2.0,0.014996668170494833
cat__edu_husband_8.0,0.013875903688994608
cat__woman_working_1.0,0.013845621953895848
cat__media_any_1.0,0.011966759169375594
cat__marriage_type_3.0,0.010634825573586892
cat__region_11.0,0.010268205675201479
cat__husband_working_1.0,0.006902752354606133
cat__region_1.0,0.005241675139955807
cat__fertility_preference_3.0,0.003972952615226625
cat__religion_5.0,0.0
cat__religion_7.0,0.0
cat__religion_96.0,0.0
cat__husband_working_2.0,0.0
cat__husband_working_0.0,0.0
